t(s),r(m),v (m/s),FPA (rad),Longitude (rad),Latitude (rad),Heading angle (rad),Heat transfer (W/m2),Heat load (J/m2)
101.659887075582,3451300.46670176,5842.94631515227,-0.032755281286047,0.20398030264393,0.537593239684871,-0.430572919697687,220691.725567815,8563376.85522578
104.407451591138,3450809.19704137,5813.29927462499,-0.0284741772036634,0.208881360860417,0.535651624858442,-0.433273224762713,224332.209957561,9174701.54075549
107.155016106694,3450390.33359779,5782.15965405497,-0.0241700410077526,0.213745971286048,0.533708458794514,-0.43594662325902,226802.747682604,9794034.62720085
109.902580622251,3450041.49491642,5749.78946664187,-0.0198523546115647,0.218574251683185,0.531764485760026,-0.438593549625425,227901.470251157,10418341.3247832
112.650145137807,3449763.58969266,5716.38516208152,-0.0155300053922056,0.223363657077444,0.529820346130507,-0.441212477055145,228113.858656675,11044820.3563917
115.397709653363,3449553.63931277,5682.28231522771,-0.0112142889813926,0.228114516600615,0.527876690603936,-0.443803933247364,227069.735051444,11670065.3194307
118.14527416892,3449410.18565057,5647.78481269857,-0.00691645947873131,0.23282609500801,0.525934050610118,-0.446367620021798,224940.336334801,12291009.5285737
120.892838684476,3449337.79967488,5613.20665678918,-0.00264783505949832,0.23749829004575,0.523992841368379,-0.448903631529712,221870.033453585,12904747.8360875
123.640403200032,3449335.97252646,5578.84037619008,0.00158081646694091,0.242130874247966,0.522053367976363,-0.451411920491762,217935.876143055,13508704.7103951
126.387967715588,3449382.71892349,5544.95005508269,0.00576056329474565,0.246724702921672,0.520115791209518,-0.45389314886291,213241.860587165,14100883.0289619
129.135532231145,3449505.38068318,5511.77870424778,0.00988256932529888,0.251279959938767,0.518180229825698,-0.456347474575735,207870.103027608,14679382.7216929
131.883096746701,3449685.74218521,5479.57718034698,0.0139380848264069,0.255797468706687,0.516246696348409,-0.458775443846538,201906.402010957,15242308.6868768
134.630661262257,3449924.12344068,5448.5555776808,0.017920009756096,0.260278227523582,0.514315086716681,-0.46117767103474,195477.714054246,15788116.1326948
137.378225777813,3450220.44302834,5418.87181087159,0.0218230962083276,0.264723242418511,0.512385235737885,-0.463554755959417,188675.713559161,16315716.0885713
140.12579029337,3450573.24652115,5390.64150184635,0.0256437142770491,0.269133779518262,0.510456922333796,-0.465907459539984,181588.344094139,16824366.657929
142.873354808926,3450980.36719189,5363.96602724641,0.0293787072372549,0.273511053186758,0.50852986640861,-0.46823646500743,174298.34806312,17313341.9687143
145.620919324482,3451438.87487129,5338.9347912314,0.0330260952932823,0.277856567316026,0.506603692595872,-0.470542599688655,166886.680758888,17782010.2017364
148.368483840038,3451947.93462098,5315.57037597578,0.0365859642610906,0.282171685333169,0.50467805000105,-0.472826625181482,159412.000201077,18230217.2521511
151.116048355595,3452506.50150104,5293.87415587494,0.0400589791719649,0.286457686787954,0.502752573602499,-0.475089234787895,151927.62265908,18657900.0107729
153.863612871151,3453112.97903101,5273.81951956223,0.0434470094722798,0.29071603258425,0.500826875481158,-0.477331241613252,144481.225851796,19065212.6124449
156.611177386707,3453765.05121007,5255.40016963242,0.0467522997054107,0.294948215875147,0.498900483714632,-0.479553409776031,137125.698572737,19452083.7891756
159.358741902264,3454461.84809786,5238.55933896133,0.049978031298608,0.299155523032026,0.496973014195065,-0.481756428489676,129841.973720882,19818780.4534426
162.10630641782,3455202.50871863,5223.22542995423,0.0531276096955217,0.303339169693591,0.495044104662421,-0.483940952949593,122642.806431132,20165676.0581522
